ano,tipo_ano,consumo_global_milhoes_kl,variacao_pct_ano_anterior,copa_realizada_em,campea
2004,Normal,156.0,1.2,,
2005,Normal,158.4,1.5,,
2006,Copa,162.4,2.5,Alemanha,Itália
2007,Normal,166.1,2.3,,
2008,Copa Normal,178.1,1.2,,
2009,Normal,177.3,0.1,,
2010,Copa,180.5,1.8,África do Sul,Espanha
2011,Normal,181.0,0.3,,
2012,Normal,185.3,2.4,,
2013,Normal,190.2,2.6,,
2014,Copa,195.1,2.6,Brasil,Alemanha
2015,Normal,189.9,-2.7,,
2016,Normal,188.0,-1.0,,
2017,Normal,186.7,-0.7,,
2018,Copa,188.8,1.1,Rússia,França
2019,Normal,190.3,0.8,,
2020,Normal,178.5,-6.2,,
2021,Normal,185.6,4.0,,
2022,Copa,192.1,3.5,Qatar,Argentina
2023,Normal,187.9,-2.2,,
2024,Normal,194.1,3.3,,
