ano,tipo_ano,brasil_anfitriao,consumo_brasil_milhoes_kl,variacao_pct,resultado_selecao_br,fase_eliminacao_br,nota
2010,Copa,Não,12.3,2.5,Quartas de final,QF,"Copa na África do Sul · Brasil eliminado por Holanda nas quartas"
2011,Normal,Não,12.6,2.4,,"","Ano sem Copa"
2012,Normal,Não,12.9,2.4,,"",
2013,Normal,Não,13.3,3.1,,"","Pré-Copa · Confederações no Brasil"
2014,Copa,Sim,14.1,6.0,4º lugar,SF,"Copa no Brasil · anfitrião · 7x1 na semifinal · pior resultado esperado mas consumo explodiu"
2015,Normal,Não,13.3,-5.7,,"","Crise econômica · ressaca pós-Copa"
2016,Normal,Não,13.1,-1.5,,"",
2017,Normal,Não,13.4,2.3,,"",
2018,Copa,Não,13.9,3.7,Oitavas de final,R16,"Copa na Rússia · Brasil eliminado pela Bélgica nas oitavas"
2019,Normal,Não,13.4,-3.6,,"",
2020,Normal,Não,12.8,-4.5,,"","COVID-19 · pandemia"
2021,Normal,Não,14.0,9.4,,"","Recuperação pós-pandemia"
2022,Copa,Não,15.1,7.9,Quartas de final,QF,"Copa no Qatar · Brasil eliminado por Croatia nos pênaltis"
2023,Normal,Não,15.1,0.0,,"",
