pais,fase_atingida,codigo_fase,consumo_2021_M_kl,consumo_2022_M_kl,variacao_pct,confiabilidade
EUA,Oitavas,2,24.2,23.2,-4.1,Kirin 2023 (direto)
Brasil,Quartas,3,14.0,15.1,7.9,Kirin 2023 (direto)
México,Fase de grupos,1,9.6,11.0,14.6,Kirin 2023 (direto)
Alemanha,Fase de grupos,1,7.7,7.5,-2.6,Kirin 2023 (direto)
Polônia,Fase de grupos,1,4.1,3.9,-4.9,Kirin 2023 (direto)
Inglaterra,Oitavas,2,4.6,4.2,-8.7,Estimativa
Espanha,Quartas,3,3.2,3.4,6.2,Kirin 2023 (direto)
França,Vice-campeão,6,2.0,2.05,2.5,Kirin 2023 (direto)
Argentina,Campeão,7,2.6,2.683,3.2,Kirin 2023 (direto)
Austrália,Oitavas,2,1.8,1.9,5.6,Estimativa
Holanda,Quartas,3,1.2,1.3,8.3,Estimativa
Portugal,Quartas,3,0.68,0.73,7.4,Estimativa
Croácia,3º lugar,5,0.31,0.34,9.7,Estimativa
Marrocos,4º lugar (semi),4,0.15,0.17,13.3,Estimativa
Sérvia,Fase de grupos,1,0.51,0.52,2.0,Estimativa
Camarões,Fase de grupos,1,0.11,0.12,9.1,Estimativa
